Country,State,District,X,Y
India,Chhattisgarh,Surguja,83.2204,22.9271
India,Chhattisgarh,Uttar Bastar Kanker,81.1212,20.1341
India,Dadra and Nagar Haveli,Dadra and Nagar Haveli,73.0809,20.1947
India,Daman and Diu,Daman,72.8594,20.4138
India,Daman and Diu,Diu,70.9407,20.7172
India,Goa,North Goa,73.9841,15.551
India,Goa,South Goa,74.1204,15.1954
India,Gujarat,Ahmadabad,72.2033,22.7273
India,Gujarat,Amreli,71.2636,21.421
India,Gujarat,Anand,72.791,22.4502
India,Gujarat,Aravalli,73.3332,23.4691
India,Gujarat,Banas Kantha,72.0394,24.281
India,Gujarat,Bharuch,72.9229,21.7873
India,Gujarat,Bhavnagar,71.9232,21.5981
India,Gujarat,Botad,71.6114,22.0408
India,Gujarat,Chhota Udaipur,73.8619,22.2051
India,Gujarat,Dahod,74.0669,22.7976
India,Gujarat,Devbhumi Dwarka,69.4727,22.1242
India,Gujarat,Gandhinagar,72.6996,23.208
India,Gujarat,Gir Somnath,70.6219,20.9254
India,Gujarat,Jamnagar,70.232,22.3366
India,Gujarat,Junagadh,70.571,21.2558
India,Gujarat,Kachchh,69.9672,23.6254
India,Gujarat,Kheda,73.0235,22.8764
India,Gujarat,Mahesana,72.4964,23.5795
India,Gujarat,Mahisagar,73.7686,23.2073
India,Gujarat,Morbi,70.9367,22.8245
India,Gujarat,Narmada,73.6575,21.7115
India,Gujarat,Navsari,73.1034,20.8125
India,Gujarat,Panch Mahals,73.6115,22.7343
India,Gujarat,Patan,71.8002,23.7679
India,Gujarat,Porbandar,69.8021,21.6378
India,Gujarat,Rajkot,70.7606,22.015
India,Gujarat,Sabar Kantha,73.0375,23.8047
India,Gujarat,Surat,73.0741,21.2641
India,Gujarat,Surendranagar,71.6065,22.7679
India,Gujarat,Tapi,73.6382,21.1924
India,Gujarat,The Dangs,73.7061,20.7986
India,Gujarat,Vadodara,73.2496,22.2458
India,Gujarat,Valsad,73.1221,20.4183
India,Haryana,Ambala,76.9661,30.3585
India,Haryana,Bhiwani,75.9576,28.7241
India,Haryana,Faridabad,77.2963,28.2351
India,Haryana,Fatehabad,75.5691,29.5793
India,Haryana,Gurgaon,76.9219,28.3747
India,Haryana,Hisar,75.8047,29.2204
India,Haryana,Jhajjar,76.6165,28.5924
India,Haryana,Jind,76.294,29.4424
India,Haryana,Kaithal,76.4078,29.816
India,Haryana,Karnal,76.8809,29.6969
India,Haryana,Kurukshetra,76.8297,30.0499
India,Haryana,Mahendragarh,76.1363,28.1783
India,Haryana,Mewat,77.0377,27.9871
India,Haryana,Palwal,77.3605,28.0651
India,Haryana,Panchkula,76.9585,30.7101
India,Haryana,Panipat,76.9155,29.3374
India,Haryana,Rewari,76.5553,28.2105
India,Haryana,Rohtak,76.5111,28.9141
India,Haryana,Sirsa,74.892,29.6163
India,Haryana,Sonipat,76.8641,29.0655
India,Haryana,Yamunanagar,77.3303,30.2575
India,Himachal Pradesh,Bilaspur,76.6576,31.3753
India,Himachal Pradesh,Chamba,76.3376,32.6783
India,Himachal Pradesh,Hamirpur,76.511,31.6705
India,Himachal Pradesh,Kangra,76.3022,32.1103
India,Himachal Pradesh,Kinnaur,78.3969,31.6014
India,Himachal Pradesh,Kullu,77.3844,31.9078
India,Himachal Pradesh,Lahul & Spiti,77.5992,32.4834
India,Himachal Pradesh,Mandi,76.9779,31.6415
India,Himachal Pradesh,Shimla,77.6178,31.2014
