ID,Date,Link,Country,State,District,Lon,Lat,Keyword,Source,WeekNumber,Type
24,29-01-20,https://www.tribuneindia.com/news/jalandhar/be-vigilant-against-yellow-rust-in-wheat-farmers-told-33291,India,Punjab,Hoshiarpur,75.8446,31.6273,yellow+rust+airborne,tribuneindia,4,yellow rust
25,29-01-20,https://www.tribuneindia.com/news/jalandhar/be-vigilant-against-yellow-rust-in-wheat-farmers-told-33291,India,Punjab,Pathankot,75.6144,32.3027,yellow+rust+airborne,tribuneindia,4,yellow rust
26,29-01-20,https://www.urdupoint.com/en/pakistan/urgent-steps-needed-to-save-wheat-crop-from-r-819650.html,Pakistan,Punjab,Dera Ghazi Kha,70.2345,30.0733,wheat+yellow+rust+75 percent+varieties+adjacent areas,urdupoint,5,yellow rust
27,29-01-20,https://www.urdupoint.com/en/pakistan/urgent-steps-needed-to-save-wheat-crop-from-r-819650.html,Pakistan,Punjab,Rajan Pur,70.1625,29.1372,wheat+yellow+rust+75 percent+varieties+adjacent areas,urdupoint,5,yellow rust
28,30-01-20,https://timesofindia.indiatimes.com/city/gurgaon/yellow-rust-spotted-in-yamunanagar/articleshow/73767318.cms,India,Haryana,Yamunanagar,77.3303,30.2575,yellow+rust+wheat+three acres+hd-2967+third case,timesofindia,5,yellow rust
29,30-01-20,https://timesofindia.indiatimes.com/city/gurgaon/yellow-rust-spotted-in-yamunanagar/articleshow/73767318.cms,India,Haryana,Ambala,76.9661,30.3585,yellow+rust+wheat+three acres+hd-2967+third case,timesofindia,5,yellow rust
30,30-01-20,https://timesofindia.indiatimes.com/city/gurgaon/yellow-rust-spotted-in-yamunanagar/articleshow/73767318.cms,India,Haryana,Panchkula,76.9585,30.7101,yellow+rust+wheat+three acres+hd-2967+third case,timesofindia,5,yellow rust
31,30-01-20,https://timesofindia.indiatimes.com/city/gurgaon/yellow-rust-spotted-in-yamunanagar/articleshow/73767318.cms,India,Haryana,Kurukshetra,76.8297,30.0499,yellow+rust+wheat+three acres+hd-2967+third case,timesofindia,5,yellow rust
32,01-02-20,https://timesofindia.indiatimes.com/city/gurgaon/second-case-of-yellow-rust-reported/articleshow/73834557.cms,India,Haryana,Yamunanagar,77.3303,30.2575,yellow+rust+one acre+seven acres+shriram 231+variety+insecticides,indiatimes,5,yellow rust
33,04-02-20,https://krishijagran.com/agriculture-world/yellow-rust-incidence-in-wheat-in-haryana-punjab-raises-fear/,India,Punjab,Rupnagar,76.4728,31.0625,yellow+rust+wheat+drop+production+temperature+humid,krishijagran,6,yellow rust
34,04-02-20,https://krishijagran.com/agriculture-world/yellow-rust-incidence-in-wheat-in-haryana-punjab-raises-fear/,India,Punjab,Hoshiarpur,75.8446,31.6273,yellow+rust+wheat+drop+production+temperature+humid,krishijagran,6,yellow rust
35,04-02-20,https://krishijagran.com/agriculture-world/yellow-rust-incidence-in-wheat-in-haryana-punjab-raises-fear/,India,Punjab,Pathankot,75.6144,32.3027,yellow+rust+wheat+drop+production+temperature+humid,krishijagran,6,yellow rust
36,04-02-20,https://krishijagran.com/agriculture-world/yellow-rust-incidence-in-wheat-in-haryana-punjab-raises-fear/,India,Haryana,Panchkula,76.9585,30.7101,yellow+rust+wheat+drop+production+temperature+humid,krishijagran,6,yellow rust
37,04-02-20,https://krishijagran.com/agriculture-world/yellow-rust-incidence-in-wheat-in-haryana-punjab-raises-fear/,India,Haryana,Ambala,76.9661,30.3585,yellow+rust+wheat+drop+production+temperature+humid,krishijagran,6,yellow rust
38,04-02-20,https://krishijagran.com/agriculture-world/yellow-rust-incidence-in-wheat-in-haryana-punjab-raises-fear/,India,Haryana,Yamunanagar,77.3303,30.2575,yellow+rust+wheat+drop+production+temperature+humid,krishijagran,6,yellow rust
39,07-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Maharashtra,Satara,74.1811,17.6678,yellow rust + lowest temperature (7.8 degree C) + Highest temperature (31.2 degree C),iiwbr newsletter,6,yellow rust
40,09-02-20,https://www.tribuneindia.com/news/jalandhar/yellow-rust-hits-wheat-in-some-areas-of-dist-38653,India,Punjab,Jalandhar,75.5537,31.2138,yellow+rust+losses++yield+hd3086+wheat+variety,tribuneindia,6,yellow rust
